input_id,category,text,seed,base_label,base_confidence,base_positive_score,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,lime_score,duration_ms
1,negation_minimal_pairs,I am not entirely unhappy with this result.,42,positive,0.987497,0.987497,not,unhappy,with,I,am,entirely,result,this,,,0.387286,0.334593,-0.081515,-0.056842,0.04687,-0.041222,-0.034337,-0.004205,0.0,0.0,0.27225,7419
1,negation_minimal_pairs,I am not entirely unhappy with this result.,123,positive,0.987497,0.987497,not,unhappy,entirely,result,with,am,this,I,,,0.210511,0.192674,-0.107704,0.065912,0.06311,0.05086,-0.029867,0.007646,0.0,0.0,0.130265,7447
1,negation_minimal_pairs,I am not entirely unhappy with this result.,456,positive,0.987497,0.987497,not,unhappy,am,entirely,I,result,this,with,,,0.194443,0.187598,-0.102766,-0.070781,0.052009,-0.031167,0.017452,0.002267,0.0,0.0,0.101049,7284
1,negation_minimal_pairs,I am not entirely unhappy with this result.,789,positive,0.987497,0.987497,not,unhappy,I,with,entirely,this,am,result,,,0.401479,0.369139,-0.108056,-0.093098,-0.085434,0.057905,-0.040262,0.030532,0.0,0.0,0.304966,7377
1,negation_minimal_pairs,I am not entirely unhappy with this result.,1024,positive,0.987497,0.987497,not,unhappy,I,with,this,result,am,entirely,,,0.374456,0.241413,-0.145037,-0.065159,-0.045174,-0.036165,-0.035782,-0.002509,0.0,0.0,0.244075,7731
2,negation_minimal_pairs,This is not good.,42,negative,0.999788,0.000212,not,good,This,is,,,,,,,-0.95234,0.01586,0.013846,0.009633,0.0,0.0,0.0,0.0,0.0,0.0,0.998356,7186
2,negation_minimal_pairs,This is not good.,123,negative,0.999788,0.000212,not,good,This,is,,,,,,,-0.951159,0.014067,0.013263,0.007855,0.0,0.0,0.0,0.0,0.0,0.0,0.998193,7186
2,negation_minimal_pairs,This is not good.,456,negative,0.999788,0.000212,not,good,This,is,,,,,,,-0.953273,0.015129,0.013109,0.011732,0.0,0.0,0.0,0.0,0.0,0.0,0.998417,7557
2,negation_minimal_pairs,This is not good.,789,negative,0.999788,0.000212,not,This,good,is,,,,,,,-0.957416,0.014001,0.011892,0.011871,0.0,0.0,0.0,0.0,0.0,0.0,0.998658,7739
2,negation_minimal_pairs,This is not good.,1024,negative,0.999788,0.000212,not,is,good,This,,,,,,,-0.953296,0.018106,0.013445,0.012538,0.0,0.0,0.0,0.0,0.0,0.0,0.998549,7520
3,negation_minimal_pairs,This is good.,42,positive,0.999834,0.999834,good,This,is,,,,,,,,0.010069,0.006536,0.004313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620237,7764
3,negation_minimal_pairs,This is good.,123,positive,0.999834,0.999834,good,This,is,,,,,,,,0.011952,0.007658,0.004411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693921,7690
3,negation_minimal_pairs,This is good.,456,positive,0.999834,0.999834,good,This,is,,,,,,,,0.011352,0.00696,0.004026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668907,7596
3,negation_minimal_pairs,This is good.,789,positive,0.999834,0.999834,good,This,is,,,,,,,,0.011382,0.007675,0.004719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668284,7423
3,negation_minimal_pairs,This is good.,1024,positive,0.999834,0.999834,good,This,is,,,,,,,,0.011416,0.008155,0.005095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.690881,7451
4,negation_minimal_pairs,I would not recommend this to anyone.,42,negative,0.957748,0.042252,not,recommend,to,would,anyone,I,this,,,,-0.828758,0.12863,0.060713,-0.049406,-0.040993,0.039983,-0.011224,0.0,0.0,0.0,0.88941,7683
4,negation_minimal_pairs,I would not recommend this to anyone.,123,negative,0.957748,0.042252,not,recommend,this,anyone,would,to,I,,,,-0.790005,0.158891,-0.050895,-0.032646,-0.025355,0.011283,0.006514,0.0,0.0,0.0,0.843138,7733
4,negation_minimal_pairs,I would not recommend this to anyone.,456,negative,0.957748,0.042252,not,recommend,would,this,I,anyone,to,,,,-0.801139,0.122259,-0.053791,-0.03918,0.032592,-0.030534,0.029977,0.0,0.0,0.0,0.872947,7716
4,negation_minimal_pairs,I would not recommend this to anyone.,789,negative,0.957748,0.042252,not,recommend,this,would,anyone,to,I,,,,-0.762495,0.159802,-0.075123,-0.07352,-0.063652,0.021704,0.008926,0.0,0.0,0.0,0.836346,7817
4,negation_minimal_pairs,I would not recommend this to anyone.,1024,negative,0.957748,0.042252,not,recommend,to,anyone,would,I,this,,,,-0.816407,0.15682,0.06205,-0.04053,-0.025343,0.022983,-0.01727,0.0,0.0,0.0,0.875013,7792
5,negation_minimal_pairs,Nothing about this experience was disappointing.,42,positive,0.99206,0.99206,experience,was,about,this,disappointing,Nothing,,,,,-0.182502,-0.171505,0.109283,0.074363,0.072464,0.068261,0.0,0.0,0.0,0.0,0.113406,8061
5,negation_minimal_pairs,Nothing about this experience was disappointing.,123,positive,0.99206,0.99206,was,experience,about,disappointing,Nothing,this,,,,,-0.192326,-0.167206,0.141211,0.085642,0.034178,-0.017079,0.0,0.0,0.0,0.0,0.114673,7898
5,negation_minimal_pairs,Nothing about this experience was disappointing.,456,positive,0.99206,0.99206,was,disappointing,about,this,experience,Nothing,,,,,-0.131145,0.112289,0.095723,0.091607,-0.090254,0.058427,0.0,0.0,0.0,0.0,0.088062,7565
5,negation_minimal_pairs,Nothing about this experience was disappointing.,789,positive,0.99206,0.99206,experience,about,disappointing,Nothing,this,was,,,,,-0.272998,0.115337,0.102536,0.084424,0.007961,0.006079,0.0,0.0,0.0,0.0,0.147691,7664
5,negation_minimal_pairs,Nothing about this experience was disappointing.,1024,positive,0.99206,0.99206,experience,disappointing,about,was,Nothing,this,,,,,-0.314575,0.207202,0.193431,-0.15917,0.153001,0.019293,0.0,0.0,0.0,0.0,0.290697,7765
6,lexical_shortcuts,The movie was terrible but I loved every minute of it.,42,positive,0.999629,0.999629,loved,terrible,every,movie,it,was,I,minute,but,of,0.715722,-0.195248,0.05661,-0.046995,-0.032311,-0.029314,-0.011632,0.011092,0.00941,-0.009162,0.770735,8480
